country,state,city,latitude,longitude
Australia,New South Wales,Blackalls Park,-32.99893000,151.58018000
Australia,New South Wales,Blackbutt,-34.57164000,150.83804000
Australia,New South Wales,Blackett,-33.73792000,150.81812000
Australia,New South Wales,Blackheath,-33.63567000,150.28318000
Australia,New South Wales,Blacksmiths,-33.07167000,151.65533000
Australia,New South Wales,Blacktown,-33.74016000,150.86253000
Australia,New South Wales,Blackwall,-33.50252000,151.32786000
Australia,New South Wales,Blair Athol,-30.65000000,150.20000000
Australia,New South Wales,Blakehurst,-33.99152000,151.10876000
Australia,New South Wales,Bland,-33.91904000,146.92718000
Australia,New South Wales,Blaxland,-33.75000000,150.60000000
Australia,New South Wales,Blayney,-33.61653000,149.13046000
Australia,New South Wales,Bligh Park,-33.63985000,150.80248000
Australia,New South Wales,Blue Bay,-33.35413000,151.50024000
Australia,New South Wales,Blue Haven,-33.21106000,151.50351000
Australia,New South Wales,Blue Mountains Municipality,-33.63203000,150.41293000
Australia,New South Wales,Boambee,-30.33981000,153.06783000
Australia,New South Wales,Boambee East,-30.34662000,153.07320000
Australia,New South Wales,Bogan,-31.57012000,146.90617000
Australia,New South Wales,Bogangar,-28.32944000,153.56860000
Australia,New South Wales,Boggabri,-30.70953000,150.04121000
Australia,New South Wales,Bolton Point,-33.00177000,151.61013000
Australia,New South Wales,Bolwarra Heights,-32.70100000,151.58541000
Australia,New South Wales,Bomaderry,-34.84967000,150.61093000
Australia,New South Wales,Bombala,-36.91212000,149.23669000
Australia,New South Wales,Bondi,-33.89429000,151.26444000
Australia,New South Wales,Bondi Beach,-33.89079000,151.27852000
Australia,New South Wales,Bondi Junction,-33.89275000,151.24723000
Australia,New South Wales,Bonnells Bay,-33.10973000,151.53226000
Australia,New South Wales,Bonnet Bay,-34.01023000,151.05253000
Australia,New South Wales,Bonny Hills,-31.59061000,152.83908000
Australia,New South Wales,Bonnyrigg,-33.89357000,150.88908000
Australia,New South Wales,Bonnyrigg Heights,-33.89117000,150.86994000
Australia,New South Wales,Bonville,-30.38284000,153.05959000
Australia,New South Wales,Booker Bay,-33.51250000,151.34590000
Australia,New South Wales,Booragul,-32.97486000,151.60978000
Australia,New South Wales,Boorowa,-34.43661000,148.71634000
Australia,New South Wales,Bossley Park,-33.86184000,150.88410000
Australia,New South Wales,Botany,-33.94599000,151.19591000
Australia,New South Wales,Botany Bay,-33.94660000,151.19874000
Australia,New South Wales,Bourke,-29.99584000,145.36160000
Australia,New South Wales,Bourkelands,-35.15593000,147.34704000
Australia,New South Wales,Bow Bowing,-34.01655000,150.84030000
Australia,New South Wales,Bowen Mountain,-33.57192000,150.62563000
